# Táblázat
"Forrás","Magyarország, DKT-Gemius (15+ belföldi közönség), 2019-05-01 - 2019-05-31"
"Riport","Domain-ek"
"Létrehozva","2021-07-25,15:07:08,CET"
"Periódus","2019-05-01 - 2019-05-31"
"Lokációk","Belföld"
"Platform","Teljes"
"Mutató","Real users"
"Node","Real users","Elérés - Internet","Oldalletöltések","Látogatások","Idő [s] (másodpercek)"
"Internet","6199459","0.9945","8648562596","1675370881","807516105573"
"Internet | 24.hu","3554886","0.5703","75534661","39398387","5916531261"
"Internet | nb1.hu","150558","0.0242","1618559","890963","76942106"
"Internet | lakaskultura.hu","150392","0.0241","542675","341259","49826201"
"Internet | citygreen.hu","148694","0.0239","322163","213465","35861263"
"Internet | izeselet.hu","148693","0.0239","323777","219119","32948319"
"Internet | magro.hu","148403","0.0238","250053","192176","28446250"
"Internet | ceginfo.hu","147821","0.0237","726194","222423","96779752"
"Internet | autopro.hu","145904","0.0234","314002","231625","27212618"
"Internet | funzine.hu","145513","0.0233","218230","170903","25939218"
"Internet | carrie.hu","143910","0.0231","363360","280084","37878888"
"Internet | profitline.hu","142706","0.0229","665644","269162","34137092"
"Internet | magyar-dalszoveg.hu","142354","0.0228","452928","275056","39852610"
"Internet | azonnali.hu","142229","0.0228","435704","268723","59877211"
"Internet | teol.hu","140865","0.0226","849873","434833","51505496"
"Internet | koncert.hu","139916","0.0224","300237","177315","19990132"
"Internet | eumet.hu","137594","0.0221","1324518","679663","101470490"
"Internet | jegymester.hu","137320","0.022","901656","204673","47184713"
"Internet | hir.ma","135608","0.0218","217218","169955","24398090"
"Internet | vous.hu","135603","0.0218","239716","192764","19457771"
"Internet | petofilive.hu","133796","0.0215","307470","216971","68017346"
"Internet | szexrandi.hu","133757","0.0215","5554277","437799","123496612"
"Internet | kirandulastippek.hu","133497","0.0214","395536","192595","41290845"
"Internet | goodstuff.hu","129651","0.0208","291928","235640","29479720"
"Internet | cookta.hu","129422","0.0208","242092","190701","39580591"
"Internet | est.hu","128848","0.0207","922656","465941","183348267"
"Internet | szabolcsihir.hu","127541","0.0205","299190","240771","18276582"
"Internet | fourfourtwo.hu","126731","0.0203","421941","296003","67053296"
"Internet | pecsistop.hu","125409","0.0201","279149","197732","22289212"
"Internet | media1.hu","124506","0.02","216648","164573","19656050"
"Internet | totalbike.hu","124081","0.0199","1042676","362405","83012304"
"Internet | habostorta.hu","121592","0.0195","437299","337243","22091747"
"Internet | itcafe.hu","121145","0.0194","534060","245645","58588798"
"Internet | otthonokesmegoldasok.hu","119855","0.0192","309308","217548","28658071"
"Internet | roadster.hu","119847","0.0192","284282","218743","30635044"
"Internet | filmbirodalmak.com","116493","0.0187","615662","420297","64150131"
"Internet | turistamagazin.hu","116080","0.0186","263377","206541","25076966"
"Internet | ado1szazalek.com","114893","0.0184","341042","133191","26037141"
"Internet | nagyszuloklapja.hu","114432","0.0184","167774","132954","19985905"
"Internet | sulihalo.hu","114429","0.0184","213773","142875","28834974"
"Internet | eletszepitok.hu","113137","0.0181","218209","169003","24816102"
"Internet | ragazze.hu","112698","0.0181","365890","293084","21344311"
"Internet | novekedes.hu","111205","0.0178","197609","170729","42232362"
"Internet | duol.hu","110840","0.0178","612570","349808","38501998"
"Internet | haldorado.hu","110369","0.0177","1969509","348417","112269028"
"Internet | noinetcafe.hu","110142","0.0177","346836","254431","25786285"
"Internet | kutyabarathelyek.hu","109405","0.0176","203456","149556","21295879"
"Internet | randivonal.hu","107330","0.0172","14959046","1584647","622699571"
"Internet | szabadmagyarszo.com","106503","0.0171","162059","130675","11868554"
"Internet | holdpont.hu","105885","0.017","1353095","328630","72945239"
"Internet | videakid.hu","102515","0.0164","647880","327250","719656414"
"Internet | pszichoforyou.hu","102020","0.0164","221686","188582","43789711"
"Internet | morzsafarm.hu","101967","0.0164","194834","154364","19008780"
"Internet | gepigeny.hu","98016","0.0157","1251605","294850","43253546"
"Internet | mindenkilapja.hu","97459","0.0156","223094","116074","18717939"
"Internet | sport365.hu","97448","0.0156","599156","388246","40001232"
"Internet | fmc.hu","97088","0.0156","169355","137705","21744874"
"Internet | kamaraonline.hu","96842","0.0155","183701","151793","19092905"
"Internet | urbanplayer.hu","96466","0.0155","215548","160285","11775608"
"Internet | tech2.hu","96350","0.0155","248362","173647","22095160"
"Internet | idojaras.hu","96340","0.0155","472849","389607","47517642"
"Internet | holtankoljak.hu","95887","0.0154","429817","225429","29335283"
"Internet | sielok.hu","93378","0.015","389613","144129","21772115"
"Internet | tvn.hu","92883","0.0149","296125","118484","11650062"
"Internet | jobmonitor.hu","92101","0.0148","768220","197273","22026659"
"Internet | ulloi129.hu","91559","0.0147","2239252","891309","245675669"
"Internet | kreativ.hu","91079","0.0146","264055","156445","27502044"
"Internet | amarqt.com","90560","0.0145","253792","110167","19224873"
"Internet | csupasport.hu","90316","0.0145","219619","130595","23127304"
"Internet | akcios-ujsag.hu","87491","0.014","1314841","341375","152169508"
"Internet | alberlet.hu","86604","0.0139","777373","160485","46031140"
"Internet | penamadridista.hu","86153","0.0138","497877","342850","39827103"
"Internet | zene.hu","85412","0.0137","142543","96217","5660413"
"Internet | woohoo.hu","85368","0.0137","160754","132214","15291430"
"Internet | nool.hu","85186","0.0137","302972","211091","18347428"
"Internet | kutyabarat.hu","84537","0.0136","155682","115067","15205721"
"Internet | meska.hu","84466","0.0136","1001826","201822","31510015"
"Internet | iho.hu","83653","0.0134","709652","296163","65745197"
"Internet | jogaszvilag.hu","83169","0.0133","199977","118079","27566866"
"Internet | tvmusor.hu","82988","0.0133","344537","171939","23052099"
"Internet | testbike.hu","81337","0.013","2403802","314453","75252797"
"Internet | urbanlegends.hu","80674","0.0129","122512","92391","13378697"
"Internet | startlapjatekok.hu","80107","0.0129","1486665","505664","871445076"
"Internet | playboy.hu","80078","0.0128","1076212","150250","9218295"
"Internet | recepttar.hu","79881","0.0128","173683","86340","14529289"
"Internet | epiteszforum.hu","79715","0.0128","232049","117933","25337466"
"Internet | egeszsegtukor.hu","79374","0.0127","112194","94410","12499014"
"Internet | naptarak.com","78542","0.0126","175679","123082","36730656"
"Internet | pcguru.hu","78283","0.0126","321745","179915","25237459"
"Internet | kitekinto.hu","77809","0.0125","276169","181856","31626619"
"Internet | parom.hu","77527","0.0124","4266924","422026","154709831"
"Internet | egyszervolt.hu","77226","0.0124","883211","226892","172136854"
"Internet | videoklinika.hu","76402","0.0123","221390","142401","14458389"
"Internet | webforditas.hu","76357","0.0122","918639","216592","57911350"
"Internet | keptelenseg.hu","74954","0.012","1908383","287051","161287663"
"Internet | kertvarazsmagazin.hu","74904","0.012","171058","101347","20663746"
"Internet | prog.hu","74715","0.012","351864","170607","47194189"
"Internet | budapestkornyeke.hu","74688","0.012","157498","135448","13441237"
"Internet | szamoldki.hu ","73810","0.0118","145414","81887","11524958"
"Internet | nyugdijguru.hu","72225","0.0116","133384","83868","31261060"
"Internet | filter.hu","71171","0.0114","113342","99767","14270238"
"Internet | ezoworld.hu","71023","0.0114","1990983","364140","42999653"
"Internet | gamepod.hu","70357","0.0113","565531","191528","30286654"
"Internet | hammerworld.hu","70221","0.0113","161597","118843","17233079"
"Internet | jarmuipar.hu","69543","0.0112","120644","101380","8541949"
"Internet | lovasok.hu","67154","0.0108","1150764","165226","39138861"
"Internet | babamama.hu","66752","0.0107","101357","82635","7609588"
"Internet | keresztlabda.hu","66048","0.0106","307164","189979","23195123"
"Internet | mtv.co.hu","65882","0.0106","179564","144696","9291059"
"Internet | onroad.hu","65847","0.0106","169161","107312","23030020"
"Internet | szepzold.hu","65725","0.0105","107281","76125","10395979"
"Internet | honfoglalo.hu","65685","0.0105","787186","382939","599637950"
"Internet | gazdasagportal.hu","65383","0.0105","188286","99436","8082416"
"Internet | minimatine.hu","65263","0.0105","143110","99663","19255151"
"Internet | gardenista.hu","64654","0.0104","105424","73129","14488255"
"Internet | kozepsuli.hu","63706","0.0102","132588","96250","9419768"
"Internet | munkahelyek.hu","63703","0.0102","267055","91650","8604785"
"Internet | pharmaonline.hu","63546","0.0102","84986","69895","10279611"
"Internet | mediapiac.com","63147","0.0101","93788","75716","6591820"
"Internet | fitnesslife.hu","63049","0.0101","339764","81789","11450775"
"Internet | filmtekercs.hu","62884","0.0101","117316","86469","16218703"
"Internet | fortunaweb.hu","62502","0.01","180258","84288","10247060"
"Internet | cultura.hu","61972","0.0099","98885","74017","14086787"
"Internet | koncertsziget.hu","61412","0.0099","130379","100069","11603423"
"Internet | runnersworld.hu","60259","0.0097","289294","98122","11430266"
"Internet | bestofcafe.hu","59522","0.0095","389803","132725","13830065"
"Internet | lakbermagazin.hu","59270","0.0095","203657","85272","18628883"
"Internet | book24.hu","58807","0.0094","464314","104940","23465376"
"Internet | hu.motor1.com","58559","0.0094","125047","94724","11175637"
"Internet | csaladivilag.hu","58194","0.0093","98601","78544","7921402"
"Internet | data.hu","56618","0.0091","722243","164973","80790251"
"Internet | rukkola.hu","56591","0.0091","316758","76033","12431849"
"Internet | huaweiblog.hu","56204","0.009","148031","90724","9528882"
"Internet | ingatlanok.hu","55975","0.009","327252","97342","34996022"
"Internet | picibaba.hu","54959","0.0088","149182","94015","14026733"
"Internet | szavazo.hu","54600","0.0088","924412","293130","80095862"
"Internet | racingline.hu","54322","0.0087","181989","150433","12967746"
"Internet | elle.hu","53365","0.0086","123530","87469","11857377"
"Internet | menshealth.hu","51874","0.0083","176673","62061","5117200"
"Internet | cgr.hu","51541","0.0083","69957","51556","2551634"
"Internet | markmyprofessor.com","51227","0.0082","395799","99302","16583525"
"Internet | welovebalaton.hu","50753","0.0081","123732","75289","10868975"
"Internet | oldal.info","50183","0.0081","1005342","495984","269481368"
"Internet | autoblog.hu","47937","0.0077","74717","61538","6796502"
"Internet | puncs.hu","47863","0.0077","5520684","426865","138682349"
"Internet | vs.hu","47637","0.0076","102946","55480","9251692"
"Internet | fintechradar.hu","46996","0.0075","88200","68242","6486070"
"Internet | fajdalomportal.hu","46243","0.0074","69262","60210","6256263"
"Internet | tipplap.hu","45916","0.0074","751764","558363","338084603"
"Internet | koloknet.hu","45495","0.0073","70516","61189","10204489"
"Internet | gamekapocs.hu","45154","0.0072","809486","283602","48913531"
"Internet | eurobarca.hu","44876","0.0072","1008704","425519","57004761"
"Internet | hu.axn.com","44235","0.0071","598884","56521","14100633"
"Internet | kezdo5.hu","43625","0.007","1116399","517093","122361826"
"Internet | iranymagyarorszag.hu","43092","0.0069","100274","55091","4629131"
"Internet | gamechannel.hu","42917","0.0069","145986","87013","8032259"
"Internet | love.hu","42766","0.0069","15729027","728132","511503651"
"Internet | receptvarazs.hu","41983","0.0067","67815","49732","7819248"
"Internet | indafoto.hu","41842","0.0067","326170","70636","12223741"
"Internet | diabetesportal.hu","41746","0.0067","81712","48463","4010414"
"Internet | offline.hu","41352","0.0066","56368","45256","5169508"
"Internet | kirandulastervezo.hu","41113","0.0066","78427","43026","4379684"
"Internet | eszak.hu","40604","0.0065","99547","59262","7751039"
"Internet | boraszportal.hu","40098","0.0064","85199","56882","7193442"
"Internet | szelforgo.hu","40076","0.0064","173465","50122","7753128"
"Internet | mozgasvilag.hu","39742","0.0064","81541","47048","10949725"
"Internet | turizmusonline.hu","39357","0.0063","86577","52385","9449981"
"Internet | nyeremenyjatekkozpont.hu","38730","0.0062","161690","49343","6266101"
"Internet | nonprofit.hu","38609","0.0062","116049","54892","12794343"
"Internet | webnyeremeny.hu","38424","0.0062","719771","128724","31068858"
"Internet | tippeknoknek.hu","37837","0.0061","141358","54018","4599306"
"Internet | playdome.hu","37296","0.006","151057","88473","25067191"
"Internet | gondola.hu","37112","0.006","128357","56051","12432205"
"Internet | ritakonyhaja.hu","35308","0.0057","69206","49614","8083230"
"Internet | hajraegeszseg.hu","34360","0.0055","42063","40079","4202190"
"Internet | kecskefeszek.net","33668","0.0054","124520","45040","7421714"
"Internet | mmonline.hu","33600","0.0054","56134","44629","4609971"
"Internet | ezoterikus.hu","33527","0.0054","233319","117729","15462705"
"Internet | jatekstart.com","33473","0.0054","313371","117656","196914776"
"Internet | haszon.hu","33024","0.0053","49909","37339","3371707"
"Internet | ujeshasznaltgsm.hu","32269","0.0052","138615","58806","12980068"
"Internet | eropolis.hu","32054","0.0051","10660758","572827","432366463"
"Internet | 50plusz.hu","31637","0.0051","89917","46860","7272491"
"Internet | szalonauto.hu","30927","0.005","448507","62139","17327036"
"Internet | androgeek.hu","30858","0.005","77735","51253","4493527"
"Internet | fuzovelkifele.com","30447","0.0049","668637","269397","63393825"
"Internet | ongo.hu","29626","0.0048","47722","30355","3900545"
